"angle","file","species","specimenId","mimicType","accuracy"
"Lateral","../data/outlines/sampleIt\outline1cb0484a41d1.JPG","Eilica sp1","593","mimetic spider",2.52917229814701e-14
"Lateral","../data/outlines/sampleIt\outline1cb05883166a.JPG","Apricia jovialis","605","non-mimic",5.59947083307069e-20
"Lateral","../data/outlines/sampleIt\outline1cb02161723.JPG","Rhombonotus gracilis","609","mimetic spider",3.3939222090176e-11
"Lateral","../data/outlines/sampleIt\outline1cb07fa25b60.JPG","Eilica sp1","621","mimetic spider",7.87316037710335e-25
"Lateral","../data/outlines/sampleIt\outline1cb02c5d2640.JPG","Eilica sp1","626","mimetic spider",7.87715761100882e-24
"Lateral","../data/outlines/sampleIt\outline1cb0a117a15.JPG","Daerlac nigricans","642","mimetic insect",5.20707574384986e-07
"Lateral","../data/outlines/sampleIt\outline1cb0bbfdc0.JPG","Vespoidea5 sp1","654","mimetic insect",0.652977405991233
"Lateral","../data/outlines/sampleIt\outline1cb023c33c3d.JPG","Vespoidea4 sp1","657","non-mimic",1.38098900779523e-08
"Lateral","../data/outlines/sampleIt\outline1cb038d1bf4.JPG","Myrmarachne erythrocephala","661","mimetic spider",1.07931382015534e-15
"Lateral","../data/outlines/sampleIt\outline1cb058e479b9.JPG","Daerlac nigricans","662","mimetic insect",3.0508521026385e-07
"Lateral","../data/outlines/sampleIt\outline1cb06c3a7efa.JPG","Coleoptera2 sp1","663","mimetic insect",8.90206628447977e-16
"Lateral","../data/outlines/sampleIt\outline1cb043d66235.JPG","Vespoidea4 sp1","664","non-mimic",8.04236753475562e-08
"Lateral","../data/outlines/sampleIt\outline1cb071427e26.JPG","Daerlac nigricans","665","mimetic insect",4.88270514976057e-08
"Lateral","../data/outlines/sampleIt\outline1cb056bf70f8.JPG","Holoplatys sp2","666","non-mimic",1.0159893139914e-19
"Lateral","../data/outlines/sampleIt\outline1cb022655f64.JPG","Formicid10 sp1","667","model",1
"Lateral","../data/outlines/sampleIt\outline1cb076ae594b.JPG","Lamponid2 sp1","682","non-mimic",1.43657227139587e-13
"Lateral","../data/outlines/sampleIt\outline1cb042dc7ad2.JPG","Nyssus coloripes","687","non-mimic",1.86077630857867e-38
"Lateral","../data/outlines/sampleIt\outline1cb054e64e5e.JPG","Eilica sp1","696","mimetic spider",7.27252853142619e-39
"Lateral","../data/outlines/sampleIt\outline1cb022b2505e.JPG","Astia hariola","704","non-mimic",2.08119249776541e-31
"Lateral","../data/outlines/sampleIt\outline1cb07de41220.JPG","Coleoptera2 sp1","717","mimetic insect",1.95859909916502e-14
"Lateral","../data/outlines/sampleIt\outline1cb01d735b57.JPG","Coleoptera2 sp1","722","mimetic insect",1.43854844564175e-09
"Lateral","../data/outlines/sampleIt\outline1cb06a045a0f.JPG","Daerlac nigricans","728","mimetic insect",8.16561634616072e-11
"Lateral","../data/outlines/sampleIt\outline1cb023f521d7.JPG","Myrmarachne erythrocephala","732","mimetic spider",8.36334446721705e-10
"Lateral","../data/outlines/sampleIt\outline1cb07a9a4a90.JPG","Myrmarachne luctuosa","733","mimetic spider",3.66457591205035e-14
"Lateral","../data/outlines/sampleIt\outline1cb0214e214d.jpg","Notoncus sp1","75","model",1
"Lateral","../data/outlines/sampleIt\outline1cb01abc2b3.JPG","Daerlac apicalis","766","mimetic insect",7.66433830393956e-10
"Lateral","../data/outlines/sampleIt\outline1cb02ff41cb6.JPG","Daerlac apicalis","769","mimetic insect",3.10254135408403e-08
"Lateral","../data/outlines/sampleIt\outline1cb0588e4fff.JPG","Daerlac apicalis","770","mimetic insect",1.57468818868664e-09
"Lateral","../data/outlines/sampleIt\outline1cb0f187a89.JPG","Vespoidea5 sp1","783","mimetic insect",0.314351369202093
"Lateral","../data/outlines/sampleIt\outline1cb078e43163.JPG","Daerlac apicalis","804","mimetic insect",7.37657712241217e-06
"Lateral","../data/outlines/sampleIt\outline1cb044892132.JPG","Myrmarachne bicolor","810","mimetic spider",4.44836570462499e-17
"Lateral","../data/outlines/sampleIt\outline1cb018623eab.JPG","Rhombonotus sp2","813","mimetic spider",2.05552380653158e-12
"Lateral","../data/outlines/sampleIt\outline1cb0110e471a.JPG","Rhombonotus sp2","815","mimetic spider",5.01236137616672e-09
"Lateral","../data/outlines/sampleIt\outline1cb04fee10de.JPG","Judalana lutea","817","mimetic spider",8.77704397389077e-10
"Lateral","../data/outlines/sampleIt\outline1cb014fc2194.JPG","Myrmarachne juvenile","818","mimetic spider",6.92684200999669e-10
"Lateral","../data/outlines/sampleIt\outline1cb0363164d0.JPG","Myrmarachne juvenile","822","mimetic spider",9.29488342393059e-19
"Lateral","../data/outlines/sampleIt\outline1cb037a4288a.JPG","Myrmarachne erythrocephala","824","mimetic spider",8.66489385646753e-21
"Lateral","../data/outlines/sampleIt\outline1cb079be4e1f.JPG","Myrmarachne macleayana","826","mimetic spider",1.48479021723146e-18
"Lateral","../data/outlines/sampleIt\outline1cb04ef5726f.JPG","Myrmarachne macleayana","827","mimetic spider",1.41618219894403e-21
"Lateral","../data/outlines/sampleIt\outline1cb038a14d11.JPG","Polyrhachis monteithi","829","model",0.999785837513312
"Lateral","../data/outlines/sampleIt\outline1cb0b5560aa.JPG","Rhombonotus gracilis","832","mimetic spider",2.25451944388698e-10
"Lateral","../data/outlines/sampleIt\outline1cb05a636deb.JPG","Rhombonotus sp2","833","mimetic spider",1.99981294625643e-07
"Lateral","../data/outlines/sampleIt\outline1cb0574c7ccf.jpg","Rhombonotus gracilis","841","mimetic spider",3.36899441268191e-12
"Lateral","../data/outlines/sampleIt\outline1cb0fe15a4b.JPG","Crematogaster sp1","842","model",0.608504747624533
"Lateral","../data/outlines/sampleIt\outline1cb01bec60c7.JPG","Formicid13 sp1","843","model",0.999999534378363
"Lateral","../data/outlines/sampleIt\outline1cb023536f2b.JPG","Rhombonotus sp2","844","mimetic spider",4.20215192239512e-10
"Lateral","../data/outlines/sampleIt\outline1cb066760cf.JPG","Rhombonotus sp2","845","mimetic spider",2.36417198499643e-10
"Lateral","../data/outlines/sampleIt\outline1cb065875ccf.JPG","Rhombonotus sp2","846","mimetic spider",5.05763777843247e-14
"Lateral","../data/outlines/sampleIt\outline1cb04073e6c.JPG","Rhombonotus sp2","847","mimetic spider",5.99547398639163e-14
"Lateral","../data/outlines/sampleIt\outline1cb02abc28eb.JPG","Cosmophasis thalassina","849","non-mimic",7.00219980365885e-30
"Lateral","../data/outlines/sampleIt\outline1cb044122c48.JPG","Heteroptera2 sp1","851","mimetic insect",2.82298477652173e-05
"Lateral","../data/outlines/sampleIt\outline1cb066cd6ebe.JPG","Rhombonotus sp3","857","mimetic spider",1.37800506637382e-10
"Lateral","../data/outlines/sampleIt\outline1cb0799af97.JPG","Colobathristid1 sp1","884","mimetic insect",2.95545120490739e-09
"Lateral","../data/outlines/sampleIt\outline1cb05b6520ab.JPG","Heteroptera2 sp1","892","mimetic insect",7.26383764940453e-08
"Lateral","../data/outlines/sampleIt\outline1cb0795833ec.JPG","Cosmophasis thalassina","897","mimetic spider",5.56709750914699e-26
"Lateral","../data/outlines/sampleIt\outline1cb04ba65ee4.JPG","Cosmophasis thalassina","900","mimetic spider",1.93295810211745e-43
"Lateral","../data/outlines/sampleIt\outline1cb076d214c1.JPG","Cosmophasis thalassina","901","non-mimic",3.63511651618571e-27
"Lateral","../data/outlines/sampleIt\outline1cb061e66c1f.jpg","Myrmarachne macleayana","902","mimetic spider",1.6435466318159e-11
"Lateral","../data/outlines/sampleIt\outline1cb0407632b3.JPG","Heteroptera2 sp1","910","mimetic insect",0.0186499583283571
"Lateral","../data/outlines/sampleIt\outline1cb02ffa1d28.JPG","Myrmarachne juvenile","911","mimetic spider",2.51693676456694e-11
"Lateral","../data/outlines/sampleIt\outline1cb05b5556e1.JPG","Cosmophasis micarioides","913","mimetic spider",2.0474729927084e-21
"Lateral","../data/outlines/sampleIt\outline1cb025c22a41.JPG","Myrmarachne macleayana","914","mimetic spider",9.81830735068614e-14
"Lateral","../data/outlines/sampleIt\outline1cb019ea7b49.JPG","Heteroptera2 sp1","915","mimetic insect",1.90976118307328e-18
"Lateral","../data/outlines/sampleIt\outline1cb046d3533d.JPG","Cosmophasis baehrae","919","non-mimic",6.73169194823316e-37
"Lateral","../data/outlines/sampleIt\outline1cb080f2313.JPG","Judalana lutea","920","mimetic spider",2.48874703955334e-21
"Lateral","../data/outlines/sampleIt\outline1cb046492a05.JPG","Judalana lutea","921","mimetic spider",5.23508173997971e-14
"Lateral","../data/outlines/sampleIt\outline1cb010314604.JPG","Salticid17 sp1","925","mimetic spider",3.19270615906204e-15
"Lateral","../data/outlines/sampleIt\outline1cb0408315.JPG","Salticid18 sp1","926","non-mimic",8.01540547762066e-27
"Lateral","../data/outlines/sampleIt\outline1cb06af14444.JPG","Cosmophasis thalassina","927","mimetic spider",1.55875554627378e-29
"Lateral","../data/outlines/sampleIt\outline1cb0147f3c38.JPG","Judalana lutea","931","mimetic spider",5.09307288613499e-14
"Lateral","../data/outlines/sampleIt\outline1cb012ee73b2.JPG","Cosmophasis baehrae","939","non-mimic",2.52615433287969e-23
"Lateral","../data/outlines/sampleIt\outline1cb02dff7c48.JPG","Cosmophasis thalassina","940","mimetic spider",1.26874574904662e-34
"Lateral","../data/outlines/sampleIt\outline1cb0397628e2.JPG","Myrmarachne macleayana","942","mimetic spider",2.17709810020595e-17
"Lateral","../data/outlines/sampleIt\outline1cb07b9c163e.JPG","Iridonyssus kohouti","951","mimetic spider",3.43166103493594e-25
"Lateral","../data/outlines/sampleIt\outline1cb047ed29e4.jpg","Poecilipta kohouti","977","mimetic spider",7.71750563149883e-18
