mass_A
t,x,y
0.000000000e0,1.319214350e-1,2.176234694e-2
2.000000000e-2,1.319831548e-1,2.201414137e-2
4.000000000e-2,1.319284300e-1,2.219314891e-2
6.000000000e-2,1.320255153e-1,2.238522765e-2
8.000000000e-2,1.321951184e-1,2.269930199e-2
1.000000000e-1,1.321694594e-1,2.283741549e-2
1.200000000e-1,1.322748673e-1,2.293179305e-2
1.400000000e-1,1.322965914e-1,2.318576264e-2
1.600000000e-1,1.322296113e-1,2.338305705e-2
1.800000000e-1,1.322379567e-1,2.366594773e-2
2.000000000e-1,1.321445934e-1,2.402748047e-2
2.200000000e-1,1.321884021e-1,2.429213585e-2
2.400000000e-1,1.323831616e-1,2.445792788e-2
2.600000000e-1,1.325721501e-1,2.480482444e-2
2.800000000e-1,1.326778890e-1,2.504314366e-2
3.000000000e-1,1.327807543e-1,2.546121708e-2
3.200000000e-1,1.328284144e-1,2.570893984e-2
3.400000000e-1,1.329266226e-1,2.602753226e-2
3.600000000e-1,1.330345606e-1,2.631125059e-2
3.800000000e-1,1.330570636e-1,2.674881638e-2
4.000000000e-1,1.331594829e-1,2.697142675e-2
4.200000000e-1,1.331956457e-1,2.726072192e-2
4.400000000e-1,1.332340652e-1,2.755170733e-2
4.600000000e-1,1.332490809e-1,2.777373107e-2
4.800000000e-1,1.333238209e-1,2.795095042e-2
5.000000000e-1,1.333118570e-1,2.818776464e-2
5.200000000e-1,1.332753247e-1,2.848770611e-2
5.400000000e-1,1.332255626e-1,2.882878190e-2
5.600000000e-1,1.332188596e-1,2.916760792e-2
5.800000000e-1,1.332662209e-1,2.947732706e-2
6.000000000e-1,1.334366528e-1,2.986052161e-2
6.200000000e-1,1.335884253e-1,3.015501393e-2
6.400000000e-1,1.337276591e-1,3.053607576e-2
6.600000000e-1,1.338261880e-1,3.079134156e-2
6.800000000e-1,1.338589948e-1,3.106165333e-2
7.000000000e-1,1.338583772e-1,3.143313505e-2
7.200000000e-1,1.338988131e-1,3.191721150e-2
7.400000000e-1,1.339015492e-1,3.224994965e-2
7.600000000e-1,1.338886665e-1,3.264500304e-2
7.800000000e-1,1.339522433e-1,3.300565556e-2
8.000000000e-1,1.340335883e-1,3.328561341e-2
8.200000000e-1,1.340860830e-1,3.352523482e-2
8.400000000e-1,1.341216573e-1,3.389426245e-2
8.600000000e-1,1.341523008e-1,3.416233768e-2
8.800000000e-1,1.341588981e-1,3.451198243e-2
9.000000000e-1,1.341883527e-1,3.478958092e-2
9.200000000e-1,1.342577378e-1,3.531600319e-2
9.400000000e-1,1.343670833e-1,3.564788004e-2
9.600000000e-1,1.344843871e-1,3.601587448e-2
9.800000000e-1,1.345450333e-1,3.636280026e-2
1.000000000e0,1.346746173e-1,3.673713082e-2
1.020000000e0,1.347221769e-1,3.716868035e-2
1.040000000e0,1.347251072e-1,3.753529227e-2
1.060000000e0,1.347686979e-1,3.780986534e-2
1.080000000e0,1.348450877e-1,3.809691472e-2
1.100000000e0,1.349574596e-1,3.841901652e-2
1.120000000e0,1.350077098e-1,3.879477557e-2
1.140000000e0,1.350798971e-1,3.908856605e-2
1.160000000e0,1.351373700e-1,3.945904466e-2
1.180000000e0,1.352074653e-1,3.982135165e-2
1.200000000e0,1.353082890e-1,4.025962115e-2
1.220000000e0,1.354104919e-1,4.069483786e-2
1.240000000e0,1.354650868e-1,4.111186992e-2
1.260000000e0,1.356084900e-1,4.147910398e-2
1.280000000e0,1.357580760e-1,4.194394527e-2
1.300000000e0,1.358566476e-1,4.224589212e-2
1.320000000e0,1.358152018e-1,4.266208176e-2
1.340000000e0,1.358196379e-1,4.317745961e-2
1.360000000e0,1.359739345e-1,4.365026935e-2
1.380000000e0,1.360905519e-1,4.402899444e-2
1.400000000e0,1.361645174e-1,4.442189727e-2
1.420000000e0,1.363378147e-1,4.485507811e-2
1.440000000e0,1.364526468e-1,4.523872973e-2
1.460000000e0,1.366919926e-1,4.576187062e-2
1.480000000e0,1.367940328e-1,4.615672982e-2
1.500000000e0,1.369860889e-1,4.664014382e-2
1.520000000e0,1.371147557e-1,4.711494940e-2
1.540000000e0,1.372262751e-1,4.750785257e-2
1.560000000e0,1.374051944e-1,4.780830563e-2
1.580000000e0,1.376197038e-1,4.823728020e-2
1.600000000e0,1.377086359e-1,4.857952556e-2
1.620000000e0,1.378777347e-1,4.909476263e-2
1.640000000e0,1.380415651e-1,4.936784393e-2
1.660000000e0,1.383560365e-1,4.988579700e-2
1.680000000e0,1.385767466e-1,5.031721087e-2
1.700000000e0,1.386524018e-1,5.057333273e-2
1.720000000e0,1.387264191e-1,5.084756602e-2
1.740000000e0,1.389530233e-1,5.129124204e-2
1.760000000e0,1.393201790e-1,5.178580209e-2
1.780000000e0,1.395964641e-1,5.223003927e-2
1.800000000e0,1.399911807e-1,5.267674195e-2
1.820000000e0,1.401747535e-1,5.305830188e-2
1.840000000e0,1.404646177e-1,5.355914535e-2
1.860000000e0,1.405305692e-1,5.390809101e-2
1.880000000e0,1.406928803e-1,5.438850745e-2
1.900000000e0,1.408573064e-1,5.465189109e-2
1.920000000e0,1.411500859e-1,5.503164188e-2
1.940000000e0,1.414305705e-1,5.540000192e-2
1.960000000e0,1.415280255e-1,5.555109864e-2
1.980000000e0,1.418175022e-1,5.591610253e-2
2.000000000e0,1.425251253e-1,5.634305945e-2
2.020000000e0,1.429865000e-1,5.671542671e-2
2.040000000e0,1.433892624e-1,5.687917837e-2
2.060000000e0,1.437036312e-1,5.705433910e-2
2.080000000e0,1.440030229e-1,5.719053696e-2
2.100000000e0,1.442256310e-1,5.732379660e-2
2.120000000e0,1.444638977e-1,5.737707944e-2
2.140000000e0,1.447430352e-1,5.745187176e-2
