mass_A
t,x,y
2.000000000e-2,1.812223693e-1,3.672114568e-1
4.000000000e-2,1.811285819e-1,3.681892998e-1
6.000000000e-2,1.811383210e-1,3.686774959e-1
8.000000000e-2,1.809919982e-1,3.699344524e-1
1.000000000e-1,1.806583917e-1,3.713822563e-1
1.200000000e-1,1.806507696e-1,3.720165046e-1
1.400000000e-1,1.804777822e-1,3.730219282e-1
1.600000000e-1,1.803090033e-1,3.744547775e-1
1.800000000e-1,1.803235142e-1,3.750465436e-1
2.000000000e-1,1.801147505e-1,3.764291685e-1
2.200000000e-1,1.798605683e-1,3.775880026e-1
2.400000000e-1,1.797201977e-1,3.782925489e-1
2.600000000e-1,1.795474214e-1,3.796679879e-1
2.800000000e-1,1.793607287e-1,3.807693433e-1
3.000000000e-1,1.791676978e-1,3.813175630e-1
3.200000000e-1,1.790816158e-1,3.826138598e-1
3.400000000e-1,1.787944352e-1,3.837698162e-1
3.600000000e-1,1.786221562e-1,3.845095130e-1
3.800000000e-1,1.785502264e-1,3.857887326e-1
4.000000000e-1,1.781016105e-1,3.871959037e-1
4.200000000e-1,1.780047324e-1,3.878025346e-1
4.400000000e-1,1.776153547e-1,3.893973469e-1
4.600000000e-1,1.775110281e-1,3.909160800e-1
4.800000000e-1,1.774599271e-1,3.917419188e-1
5.000000000e-1,1.774381835e-1,3.933184091e-1
5.200000000e-1,1.772476996e-1,3.948328117e-1
5.400000000e-1,1.770767980e-1,3.955996367e-1
5.600000000e-1,1.772463486e-1,3.972252053e-1
5.800000000e-1,1.771790205e-1,3.987807103e-1
6.000000000e-1,1.770514363e-1,3.996910673e-1
6.200000000e-1,1.770638526e-1,4.013543114e-1
6.400000000e-1,1.772046083e-1,4.026635017e-1
6.600000000e-1,1.772044401e-1,4.032760031e-1
6.800000000e-1,1.772086133e-1,4.045171177e-1
7.000000000e-1,1.769806952e-1,4.059528270e-1
7.200000000e-1,1.770136160e-1,4.065059897e-1
7.400000000e-1,1.770929300e-1,4.082591888e-1
7.600000000e-1,1.770016004e-1,4.094404288e-1
7.800000000e-1,1.768585661e-1,4.102958756e-1
8.000000000e-1,1.766960113e-1,4.117095611e-1
8.200000000e-1,1.764251663e-1,4.133615762e-1
8.400000000e-1,1.762727103e-1,4.142078099e-1
8.600000000e-1,1.761493695e-1,4.159730568e-1
8.800000000e-1,1.757281444e-1,4.173942243e-1
9.000000000e-1,1.756357866e-1,4.179672651e-1
9.200000000e-1,1.753560730e-1,4.199210564e-1
9.400000000e-1,1.752405669e-1,4.213117958e-1
9.600000000e-1,1.751227619e-1,4.221679087e-1
9.800000000e-1,1.747245358e-1,4.234869164e-1
1.000000000e0,1.746405502e-1,4.247827092e-1
1.020000000e0,1.745367331e-1,4.255868155e-1
1.040000000e0,1.741678376e-1,4.268614836e-1
1.060000000e0,1.737625147e-1,4.283166180e-1
1.080000000e0,1.736102305e-1,4.290465195e-1
1.100000000e0,1.732570279e-1,4.306331696e-1
1.120000000e0,1.729980182e-1,4.320352317e-1
1.140000000e0,1.726385446e-1,4.327967718e-1
1.160000000e0,1.725348385e-1,4.340456292e-1
1.180000000e0,1.721972336e-1,4.359471030e-1
