"Frame","Time","TrackId","x","y","ValueChanged"
18,0.36,0,0.06261224793309436,0.3519003642101363,true
18,0.36,1,0.10540648233926761,0.3344081884015018,true
18,0.36,2,0.10534216861950957,0.33086967276148127,true
18,0.36,3,0.10627957786570502,0.32695655422435155,true
18,0.36,4,0.06928691562816777,0.2931331598277148,true
19,0.38,1,0.10539418706931387,0.33440055202301205,true
19,0.38,4,0.06889833167800935,0.2923178363068934,true
20,0.4,1,0.10538840724155783,0.33439697903858107,true
20,0.4,4,0.06816606690923654,0.2906251174180766,true
21,0.42,1,0.10538630548601019,0.3343956479267342,true
20,0.4,3,0.10627957786570502,0.32695655422435155,false
21,0.42,3,0.10629149657112315,0.3269070929104636,true
21,0.42,4,0.06743243162070037,0.28868509195981995,true
22,0.44,1,0.10538589389221543,0.3343954027219203,true
22,0.44,3,0.10629754787563742,0.3268819769316692,true
22,0.44,4,0.06701070123409257,0.2869316498503057,true
22,0.44,5,0.20407808168702168,0.3658628867813095,true
23,0.46,1,0.10538623542749193,0.33439561289747505,true
22,0.44,2,0.10534216861950957,0.33086967276148127,false
23,0.46,2,0.10537485967559028,0.330886626922899,true
23,0.46,3,0.10630022761396067,0.32687083762726665,true
23,0.46,4,0.0667517780865945,0.28537759428374504,true
23,0.46,5,0.20328267230001423,0.36587945562087676,true
23,0.46,0,0.06261224793309436,0.3519003642101363,false
24,0.48,0,0.06298265169776562,0.35230467191898557,true
24,0.48,1,0.10536310735915302,0.3344079081674288,true
24,0.48,2,0.105393057375707,0.3308960848228634,true
24,0.48,3,0.10630102452960583,0.32686754487690867,true
24,0.48,4,0.06650458098358931,0.28429286073097426,true
24,0.48,5,0.2028820076341142,0.36587836971384385,true
25,0.5,0,0.06319248133859656,0.352533693215161,true
25,0.5,1,0.1053502691356828,0.3344150541362908,true
25,0.5,2,0.10540167457345237,0.3309005335387726,true
25,0.5,3,0.10630086689793974,0.3268682454620912,true
25,0.5,4,0.06604133216760069,0.28247734677428615,true
25,0.5,5,0.20273280050486076,0.36587696854347873,true
25,0.5,6,0.11834695621687859,0.2708675293631504,true
26,0.52,0,0.06329267377701592,0.35264305456215694,true
26,0.52,1,0.10534434043357548,0.3344185920914627,true
26,0.52,2,0.10540452070075647,0.33090200476765597,true
26,0.52,3,0.1062893510290016,0.3269160253715411,true
26,0.52,4,0.06542161202974706,0.2802962149254551,true
26,0.52,5,0.20104712249712864,0.36574221098361537,true
26,0.52,6,0.11811709421848413,0.271121473977195,true
27,0.54,0,0.06326735637998154,0.3526038568211933,true
27,0.54,1,0.10534254518404519,0.3344198881740504,true
27,0.54,2,0.10540434555446083,0.3309019347091377,true
27,0.54,3,0.10628248529421261,0.3269444691299526,true
27,0.54,4,0.06460462899777446,0.2783383070304138,true
27,0.54,6,0.11813231443157501,0.2711196699703499,true
28,0.56,0,0.06323217386784538,0.3525588091939554,true
28,0.56,1,0.10534286044737734,0.33441995823256865,true
28,0.56,2,0.10540292686946617,0.330901199094696,true
28,0.56,3,0.10627899112561465,0.32695897124323137,true
28,0.56,4,0.06391576110240318,0.27650727511193224,true
28,0.56,6,0.11815167685455771,0.2711054305765146,true
29,0.58,0,0.06323516449084339,0.35257194516612816,true
29,0.58,1,0.10534399889829899,0.3344195028522,true
29,0.58,2,0.10540128049428718,0.33090032336321784,true
29,0.58,3,0.10627764249913824,0.32696457592469175,true
29,0.58,4,0.06314090075453137,0.27453440972324356,true
29,0.58,6,0.11807806286650134,0.27117403538051577,true
29,0.58,7,0.1873573552521515,0.3657615471346537,true
30,0.6,0,0.06333094324261268,0.3526197951340963,true
30,0.6,1,0.10537264407495048,0.33440556120706727,true
30,0.6,2,0.10531573028618312,0.33084532742638767,true
30,0.6,3,0.10626905157333723,0.3269694449917105,true
30,0.6,4,0.061944796051022155,0.2721666594964109,true
30,0.6,6,0.1180545144470529,0.27138562962027524,true
30,0.6,8,0.19785303204747892,0.3657000357556259,true
31,0.62,0,0.06338176194029185,0.35264284438660215,true
31,0.62,1,0.10538935303155428,0.3343973993896906,true
31,0.62,2,0.10526660175025684,0.33081376606391383,true
31,0.62,3,0.10626460285742803,0.32697032072318866,true
31,0.62,4,0.060550079826917576,0.27020379496120306,true
31,0.62,6,0.11821458064663587,0.2715098608877708,true
31,0.62,9,0.054066396031264535,0.3535662156572023,true
31,0.62,10,0.09080867788187341,0.3495450318556643,true
32,0.64,0,0.0634031779535909,0.3526506559113876,true
32,0.64,1,0.10537019202681155,0.3344067522018776,true
32,0.64,2,0.1052207396927442,0.33080420307617203,true
32,0.64,3,0.1062739906988742,0.32692401204262217,true
32,0.64,4,0.05971437803459873,0.2683644786229379,true
32,0.64,6,0.1183542423027771,0.2715889219256215,true
33,0.66,0,0.06340779305848096,0.3526504457358328,true
33,0.66,1,0.10535750267769263,0.33441291735148404,true
33,0.66,2,0.1051999760993964,0.3308022414376609,true
33,0.66,3,0.10626377966983853,0.3269362022247985,true
33,0.66,4,0.05927112216825712,0.26677309938077687,true
33,0.66,6,0.11851646280179641,0.2716253523551141,true
34,0.68,0,0.06340437332705863,0.35264690778066093,true
34,0.68,1,0.10535014653327586,0.33441649033591503,true
34,0.68,2,0.10519407366923342,0.33080392284209903,true
34,0.68,3,0.1062673701688991,0.3269086692271243,true
34,0.68,4,0.05875591182501028,0.2649026595457769,true
34,0.68,6,0.11857525941324187,0.27170784626035926,true
35,0.7,0,0.06339826072134089,0.3526426692403065,true
35,0.7,1,0.1053465472769005,0.3344182067696123,true
35,0.7,2,0.10519564998589415,0.3308067602120883,true
35,0.7,3,0.10626871003806072,0.3269078985834235,true
35,0.7,4,0.05795649158783272,0.26277727676284723,true
35,0.7,6,0.11857903381591285,0.27180135686760004,true
34,0.68,9,0.054066396031264535,0.3535662156572023,false
35,0.7,9,0.0540390775878025,0.3536261507195694,true
35,0.7,11,0.17303063347383002,0.36560360020524796,true
36,0.72,0,0.0633922707180301,0.35263902619735726,true
36,0.72,1,0.10534527746625713,0.3344188372962766,true
36,0.72,2,0.10520005491522942,0.3308095275235594,true
36,0.72,3,0.10626962079879804,0.32690926472452947,true
36,0.72,4,0.057230606522878494,0.261048565310277,true
36,0.72,6,0.11858197627367957,0.2718296254797159,true
36,0.72,9,0.05402440908554287,0.3536583075794484,true
36,0.72,11,0.17395950433811314,0.36549735646231435,true
37,0.74,0,0.06338756366133484,0.3526363639736636,true
