"Frame","Time","TrackId","x","y","ValueChanged"
#4403.mp4
#-v --headless --default knn-small.def --view-scale 1196.71 --csv-units m 4403.mp4
58,0.24166666666666667,0,0.2564100577622059,1.0566469737864645,true
58,0.24166666666666667,1,0.3082187666390432,0.6496979218022746,true
58,0.24166666666666667,2,0.31006191911051967,0.6105503700967131,true
59,0.24583333333333332,2,0.30990442350799274,0.610224617372186,true
60,0.25,2,0.30986362153842617,0.6100573802994251,true
60,0.25,3,0.3023693962819809,0.6146016996599009,true
61,0.25416666666666665,2,0.3098486778170724,0.6099651168457427,true
62,0.25833333333333336,2,0.309918806202265,0.6098791266948812,true
63,0.2625,2,0.3099711602294651,0.6098421499099614,true
64,0.26666666666666666,2,0.30997266480209285,0.6097962986966611,true
65,0.2708333333333333,2,0.3099300777463577,0.6098607148061143,true
66,0.275,2,0.3100228257234287,0.6099090141375887,true
67,0.2791666666666667,2,0.30996672301527467,0.6098686201877178,true
68,0.2833333333333333,2,0.3098759641342201,0.6097076054153158,true
69,0.2875,2,0.30982327859101727,0.6095390932810059,true
70,0.2916666666666667,2,0.3097731941733743,0.6094734531124656,true
71,0.29583333333333334,2,0.3097429242122021,0.6094299480124153,true
72,0.3,2,0.3097295615671691,0.6093358994725644,true
73,0.30416666666666664,2,0.3096113888628119,0.6091725895893743,true
74,0.30833333333333335,2,0.30953593072034474,0.6090007622950371,true
75,0.3125,2,0.30947817043217707,0.6088712160416632,true
76,0.31666666666666665,2,0.3094478749697739,0.6088205705969387,true
77,0.32083333333333336,2,0.30944002059063236,0.6088112371464004,true
78,0.325,2,0.3094787569604896,0.6087803296544537,true
79,0.32916666666666666,2,0.309506323791178,0.6087730363023937,true
80,0.3333333333333333,2,0.30942961608839287,0.6085966187864802,true
81,0.3375,2,0.30913012963177433,0.6082351643385825,true
82,0.3416666666666667,2,0.3089746996289567,0.608046506231799,true
83,0.3458333333333333,2,0.3089015620985086,0.6078559100314612,true
84,0.35,2,0.3089686813384456,0.6076843377494339,true
85,0.3541666666666667,2,0.3089825030056363,0.6075766715522402,true
86,0.35833333333333334,2,0.3088672629428417,0.607491395435846,true
87,0.3625,2,0.30884589291128123,0.6074020901249572,true
88,0.36666666666666664,2,0.30883574342135156,0.6073160999740956,true
89,0.37083333333333335,2,0.3088557363864392,0.60722531559181,true
90,0.375,2,0.30890872794441376,0.6071616645192862,true
91,0.37916666666666665,2,0.30889516128953287,0.607091230119322,true
92,0.38333333333333336,2,0.30887626487737735,0.6070181435913359,true
93,0.3875,2,0.3088789935090921,0.606953319462187,true
94,0.39166666666666666,2,0.30887078211271685,0.6067036114084396,true
95,0.3958333333333333,2,0.3088392115887647,0.6065195435232325,true
96,0.4,2,0.30874194989381043,0.6062713145408819,true
97,0.4041666666666667,2,0.3085913396236479,0.6060011034974273,true
98,0.4083333333333333,2,0.308513050844542,0.6058674260446348,true
99,0.4125,2,0.3084279277355338,0.6056016522153707,true
100,0.4166666666666667,2,0.3083724880593852,0.6054788892894373,true
101,0.42083333333333334,2,0.3080099115573244,0.6047189016037982,true
102,0.425,2,0.30757881324762265,0.6037881576755229,true
101,0.42083333333333334,3,0.3023693962819809,0.6146016996599009,false
102,0.425,3,0.3072003749798928,0.6131524137008967,true
103,0.42916666666666664,2,0.30735368838053917,0.6032973099816371,true
103,0.42916666666666664,3,0.3099625153121631,0.6123237767014618,true
104,0.43333333333333335,2,0.3072649185955009,0.6031037046360438,true
104,0.43333333333333335,3,0.31128452462735073,0.6119271815572748,true
105,0.4375,2,0.30711744497674875,0.6029722712915775,true
105,0.4375,3,0.31172743000699576,0.6117942691414117,true
106,0.44166666666666665,2,0.30704252236013213,0.6028722044612156,true
106,0.44166666666666665,3,0.31170853359484024,0.611799930414689,true
107,0.44583333333333336,2,0.3070396917234935,0.6028347176516763,true
107,0.44583333333333336,3,0.3114986839651132,0.6118629184552075,true
108,0.45,2,0.30704616903616216,0.602792385608251,true
108,0.45,3,0.3112513730270779,0.6119371270373566,true
109,0.45416666666666666,2,0.3070636628806138,0.602793507662414,true
109,0.45416666666666666,3,0.3110390497779459,0.6120008291123424,true
110,0.4583333333333333,2,0.3070965594685769,0.6026699286970894,true
110,0.4583333333333333,3,0.31088509884652504,0.6120469863404145,true
111,0.4625,2,0.3070694771612771,0.602662941359801,true
111,0.4625,3,0.3107874036306441,0.6120763127560406,true
112,0.4666666666666667,2,0.30699284596218485,0.6025606814235749,true
112,0.4666666666666667,3,0.3107334940283543,0.6120924805364812,true
113,0.4708333333333333,2,0.30694000741159616,0.6024858098094202,true
113,0.4708333333333333,3,0.31070914035276925,0.6120997738885413,true
114,0.475,2,0.30693090347213664,0.6024123152617384,true
114,0.475,3,0.3107022550204049,0.6121018649894816,true
115,0.4791666666666667,2,0.3067058041062841,0.6023150025643222,true
115,0.4791666666666667,3,0.31070416761272834,0.6121013039624,true
116,0.48333333333333334,2,0.306530202629762,0.6020838084042657,true
116,0.48333333333333334,3,0.31070936986384806,0.6120997228860794,true
117,0.4875,2,0.306458212654708,0.6018424137518175,true
117,0.4875,3,0.31071490363097054,0.6120980398048347,true
118,0.49166666666666664,2,0.3063353222226197,0.6016778288070783,true
118,0.49166666666666664,3,0.3107194428500848,0.6120966627383618,true
119,0.49583333333333335,2,0.306341085500821,0.6014731559272402,true
119,0.49583333333333335,3,0.3107226305039572,0.6120956936915847,true
120,0.5,2,0.3063134931689016,0.6013921640176505,true
120,0.5,3,0.3107245940987426,0.6120951326645031,true
121,0.5041666666666667,2,0.306407006182902,0.6011661211062518,true
